Process_ID,ID,Timestamp,Voltage,Current,Power,Energy,Frequency,PF
Station02,1,2024-08-15 00:00:00,235.04,0.04,0.23,0.002,49.8,0.06
Station02,2,2024-08-15 00:01:00,239.61,0.02,0.21,0.003,49.84,0.06
Station02,3,2024-08-15 00:02:00,224.06,0.02,0.26,0.003,49.72,0.02
Station02,4,2024-08-15 00:03:00,229.47,0.04,0.36,0.002,50.15,0.1
Station02,5,2024-08-15 00:04:00,230.75,0.03,0.31,0.002,49.67,0.03
Station02,6,2024-08-15 00:05:00,235.93,0.03,0.18,0.003,50.03,0.07
Station02,7,2024-08-15 00:06:00,229.36,0.02,0.29,0.001,49.97,0.09
Station02,8,2024-08-15 00:07:00,227.11,0.04,0.31,0.001,49.93,0.08
Station02,9,2024-08-15 00:08:00,221.56,0.02,0.2,0.003,49.62,0.08
Station02,10,2024-08-15 00:09:00,222.15,0.02,0.2,0.003,49.56,0.04
Station02,11,2024-08-15 00:10:00,239.55,0.04,0.04,0.003,50.17,0.03
Station02,12,2024-08-15 00:11:00,237.88,0.04,0.28,0.002,50.17,0.05
Station02,13,2024-08-15 00:12:00,227.06,0.02,0.27,0.001,50.17,0.07
Station02,14,2024-08-15 00:13:00,226.41,0.05,0.25,0.002,49.72,0.04
Station02,15,2024-08-15 00:14:00,228.1,0.04,0.13,0.002,50.08,0.02
Station02,16,2024-08-15 00:15:00,230.19,0.03,0.25,0.001,50.2,0.03
Station02,17,2024-08-15 00:16:00,227.19,0.04,0.06,0.002,49.6,0.08
Station02,18,2024-08-15 00:17:00,230.08,0.03,0.18,0.003,49.84,0.01
Station02,19,2024-08-15 00:18:00,223.98,0.04,0.31,0.001,49.61,0.08
Station02,20,2024-08-15 00:19:00,223.48,0.04,0.21,0.003,50.33,0.04
Station02,21,2024-08-15 00:20:00,231.36,0.04,0.42,0.002,49.57,0.01
Station02,22,2024-08-15 00:21:00,232.33,0.03,0.45,0.002,50.16,0.04
Station02,23,2024-08-15 00:22:00,230.38,0.04,0.04,0.002,50.27,0.08
Station02,24,2024-08-15 00:23:00,221.05,0.02,0.4,0.002,50.4,0.03
Station02,25,2024-08-15 00:24:00,234.62,0.05,0.06,0.002,49.75,0.07
Station02,26,2024-08-15 00:25:00,220.02,0.02,0.08,0.002,49.7,0.02
Station02,27,2024-08-15 00:26:00,230.49,0.04,0.3,0.001,50.21,0.04
Station02,28,2024-08-15 00:27:00,232.28,0.05,0.34,0.002,50.26,0.02
Station02,29,2024-08-15 00:28:00,236.14,0.05,0.41,0.003,50.02,0.09
Station02,30,2024-08-15 00:29:00,236.65,0.03,0.0,0.001,49.97,0.07
Station02,31,2024-08-15 00:30:00,238.15,0.02,0.07,0.002,49.61,0.0
Station02,32,2024-08-15 00:31:00,234.08,0.04,0.23,0.003,49.96,0.07
