Process_ID,ID,Timestamp,Voltage,Current,Power,Energy,Frequency,PF
Station02,1,2024-08-19 00:00:00,227.06,0.02,0.21,0.003,50.34,0.01
Station02,2,2024-08-19 00:01:00,227.66,0.04,0.38,0.003,49.62,0.09
Station02,3,2024-08-19 00:02:00,223.25,0.02,0.37,0.001,49.96,0.05
Station02,4,2024-08-19 00:03:00,223.9,0.04,0.35,0.001,50.45,0.01
Station02,5,2024-08-19 00:04:00,222.57,0.03,0.2,0.002,49.68,0.09
Station02,6,2024-08-19 00:05:00,225.13,0.04,0.34,0.001,50.22,0.04
Station02,7,2024-08-19 00:06:00,220.37,0.02,0.01,0.001,50.17,0.04
Station02,8,2024-08-19 00:07:00,238.28,0.05,0.11,0.001,49.61,0.05
Station02,9,2024-08-19 00:08:00,228.56,0.02,0.23,0.002,49.87,0.01
Station02,10,2024-08-19 00:09:00,235.25,0.02,0.07,0.001,49.92,0.01
Station02,11,2024-08-19 00:10:00,226.46,0.02,0.18,0.003,50.06,0.03
Station02,12,2024-08-19 00:11:00,235.33,0.02,0.06,0.002,50.11,0.02
Station02,13,2024-08-19 00:12:00,233.15,0.04,0.24,0.002,50.21,0.07
Station02,14,2024-08-19 00:13:00,226.79,0.03,0.25,0.002,49.69,0.06
Station02,15,2024-08-19 00:14:00,224.58,0.04,0.25,0.002,50.19,0.01
Station02,16,2024-08-19 00:15:00,224.02,0.04,0.38,0.002,50.13,0.08
Station02,17,2024-08-19 00:16:00,222.85,0.05,0.41,0.001,50.46,0.01
Station02,18,2024-08-19 00:17:00,224.89,0.03,0.12,0.002,49.86,0.01
Station02,19,2024-08-19 00:18:00,227.15,0.02,0.29,0.002,49.86,0.01
Station02,20,2024-08-19 00:19:00,230.44,0.03,0.04,0.002,50.07,0.01
Station02,21,2024-08-19 00:20:00,237.32,0.03,0.16,0.001,49.69,0.06
Station02,22,2024-08-19 00:21:00,222.9,0.03,0.44,0.001,50.37,0.06
Station02,23,2024-08-19 00:22:00,224.4,0.05,0.06,0.002,49.96,0.0
Station02,24,2024-08-19 00:23:00,229.3,0.02,0.12,0.002,50.04,0.01
Station02,25,2024-08-19 00:24:00,222.69,0.03,0.1,0.002,49.85,0.06
Station02,26,2024-08-19 00:25:00,224.04,0.03,0.25,0.002,49.92,0.09
Station02,27,2024-08-19 00:26:00,222.52,0.05,0.33,0.003,50.23,0.02
Station02,28,2024-08-19 00:27:00,227.05,0.04,0.24,0.002,50.09,0.04
Station02,29,2024-08-19 00:28:00,237.88,0.03,0.3,0.001,50.09,0.05
Station02,30,2024-08-19 00:29:00,224.09,0.04,0.41,0.003,49.89,0.02
Station02,31,2024-08-19 00:30:00,225.74,0.05,0.11,0.002,49.96,0.02
Station02,32,2024-08-19 00:31:00,239.51,0.03,0.04,0.002,49.63,0.07
Station02,33,2024-08-19 00:32:00,224.57,0.03,0.19,0.003,50.06,0.09
Station02,34,2024-08-19 00:33:00,223.82,0.04,0.24,0.002,50.28,0.05
Station02,35,2024-08-19 00:34:00,229.65,0.03,0.08,0.003,49.93,0.1
Station02,36,2024-08-19 00:35:00,239.97,0.03,0.07,0.002,49.61,0.08
Station02,37,2024-08-19 00:36:00,223.28,0.05,0.39,0.002,50.49,0.0
Station02,38,2024-08-19 00:37:00,225.73,0.03,0.15,0.002,49.65,0.06
Station02,39,2024-08-19 00:38:00,229.35,0.05,0.18,0.001,49.95,0.06
Station02,40,2024-08-19 00:39:00,231.82,0.04,0.49,0.002,50.18,0.08
Station02,41,2024-08-19 00:40:00,232.21,0.03,0.18,0.003,49.76,0.04
Station02,42,2024-08-19 00:41:00,237.82,0.05,0.23,0.002,49.76,0.01
Station02,43,2024-08-19 00:42:00,227.33,0.03,0.15,0.002,49.79,0.09
Station02,44,2024-08-19 00:43:00,237.37,0.04,0.12,0.003,50.14,0.0
Station02,45,2024-08-19 00:44:00,222.73,0.03,0.36,0.002,49.96,0.04
Station02,46,2024-08-19 00:45:00,236.75,0.04,0.36,0.002,49.79,0.04
Station02,47,2024-08-19 00:46:00,222.2,0.03,0.35,0.002,49.68,0.03
Station02,48,2024-08-19 00:47:00,228.81,0.04,0.33,0.002,49.75,0.07
Station02,49,2024-08-19 00:48:00,235.31,0.04,0.21,0.001,49.51,0.03
Station02,50,2024-08-19 00:49:00,225.82,0.03,0.16,0.003,49.51,0.07
Station02,51,2024-08-19 00:50:00,225.34,0.03,0.2,0.002,50.32,0.09
Station02,52,2024-08-19 00:51:00,227.19,0.03,0.27,0.001,50.17,0.06
Station02,53,2024-08-19 00:52:00,220.66,0.03,0.03,0.003,49.73,0.01
Station02,54,2024-08-19 00:53:00,230.27,0.05,0.21,0.003,49.55,0.06
Station02,55,2024-08-19 00:54:00,239.76,0.05,0.26,0.003,50.21,0.01
Station02,56,2024-08-19 00:55:00,230.6,0.05,0.4,0.003,49.56,0.1
Station02,57,2024-08-19 00:56:00,236.7,0.02,0.04,0.003,49.68,0.07
Station02,58,2024-08-19 00:57:00,236.91,0.03,0.49,0.002,49.72,0.03
Station02,59,2024-08-19 00:58:00,233.9,0.02,0.13,0.002,50.32,0.1
Station02,60,2024-08-19 00:59:00,220.68,0.03,0.19,0.001,50.24,0.05
Station02,61,2024-08-19 01:00:00,235.24,0.04,0.09,0.002,50.02,0.09
Station02,62,2024-08-19 01:01:00,239.69,0.04,0.04,0.001,49.93,0.08
Station02,63,2024-08-19 01:02:00,225.43,0.04,0.05,0.002,50.26,0.03
Station02,64,2024-08-19 01:03:00,232.49,0.04,0.12,0.001,49.63,0.02
Station02,65,2024-08-19 01:04:00,228.0,0.03,0.28,0.002,49.74,0.08
Station02,66,2024-08-19 01:05:00,221.54,0.05,0.09,0.001,50.06,0.07
Station02,67,2024-08-19 01:06:00,237.39,0.04,0.1,0.002,50.1,0.07
Station02,68,2024-08-19 01:07:00,237.15,0.05,0.02,0.001,49.68,0.06
Station02,69,2024-08-19 01:08:00,239.56,0.05,0.06,0.002,50.11,0.08
Station02,70,2024-08-19 01:09:00,229.77,0.05,0.25,0.003,49.51,0.03
Station02,71,2024-08-19 01:10:00,220.09,0.04,0.3,0.001,49.58,0.06
Station02,72,2024-08-19 01:11:00,220.0,0.03,0.11,0.002,50.48,0.01
Station02,73,2024-08-19 01:12:00,233.14,0.04,0.29,0.003,49.83,0.03
Station02,74,2024-08-19 01:13:00,234.78,0.03,0.0,0.002,50.12,0.09
Station02,75,2024-08-19 01:14:00,229.98,0.04,0.3,0.002,50.34,0.09
Station02,76,2024-08-19 01:15:00,225.17,0.02,0.28,0.002,50.01,0.05
Station02,77,2024-08-19 01:16:00,226.98,0.02,0.18,0.002,49.58,0.04
Station02,78,2024-08-19 01:17:00,223.56,0.03,0.33,0.003,50.15,0.0
Station02,79,2024-08-19 01:18:00,237.62,0.05,0.46,0.002,50.48,0.01
Station02,80,2024-08-19 01:19:00,221.59,0.04,0.17,0.002,50.34,0.09
Station02,81,2024-08-19 01:20:00,228.15,0.04,0.46,0.002,50.33,0.0
Station02,82,2024-08-19 01:21:00,239.47,0.02,0.09,0.002,49.55,0.09
Station02,83,2024-08-19 01:22:00,222.25,0.03,0.04,0.001,50.41,0.05
Station02,84,2024-08-19 01:23:00,229.55,0.04,0.39,0.002,49.84,0.04
Station02,85,2024-08-19 01:24:00,229.62,0.02,0.49,0.001,49.63,0.03
Station02,86,2024-08-19 01:25:00,230.71,0.04,0.39,0.003,49.74,0.01
Station02,87,2024-08-19 01:26:00,230.11,0.03,0.08,0.003,50.24,0.08
Station02,88,2024-08-19 01:27:00,222.06,0.03,0.36,0.001,49.66,0.09
Station02,89,2024-08-19 01:28:00,225.25,0.02,0.05,0.002,50.5,0.04
Station02,90,2024-08-19 01:29:00,238.71,0.04,0.25,0.002,50.24,0.07
Station02,91,2024-08-19 01:30:00,235.14,0.04,0.35,0.002,49.87,0.0
Station02,92,2024-08-19 01:31:00,237.83,0.04,0.14,0.002,50.17,0.08
Station02,93,2024-08-19 01:32:00,238.48,0.02,0.48,0.001,49.76,0.01
Station02,94,2024-08-19 01:33:00,222.26,0.02,0.29,0.002,50.22,0.01
Station02,95,2024-08-19 01:34:00,226.15,0.03,0.25,0.002,49.76,0.08
Station02,96,2024-08-19 01:35:00,231.36,0.03,0.2,0.002,49.62,0.04
Station02,97,2024-08-19 01:36:00,221.1,0.03,0.02,0.002,50.17,0.0
Station02,98,2024-08-19 01:37:00,223.79,0.05,0.34,0.001,50.13,0.09
Station02,99,2024-08-19 01:38:00,228.29,0.03,0.37,0.001,50.36,0.06
Station02,100,2024-08-19 01:39:00,239.32,0.04,0.47,0.003,50.2,0.07
Station02,101,2024-08-19 01:40:00,234.67,0.02,0.35,0.002,50.12,0.02
Station02,102,2024-08-19 01:41:00,227.23,0.04,0.27,0.003,50.34,0.08
Station02,103,2024-08-19 01:42:00,222.77,0.04,0.45,0.002,49.62,0.09
Station02,104,2024-08-19 01:43:00,235.37,0.03,0.42,0.002,50.18,0.06
Station02,105,2024-08-19 01:44:00,234.96,0.03,0.28,0.001,50.21,0.06
Station02,106,2024-08-19 01:45:00,225.63,0.04,0.1,0.002,50.33,0.06
Station02,107,2024-08-19 01:46:00,223.6,0.04,0.33,0.003,49.88,0.04
Station02,108,2024-08-19 01:47:00,222.45,0.05,0.21,0.002,50.46,0.02
Station02,109,2024-08-19 01:48:00,237.61,0.04,0.06,0.003,49.87,0.04
Station02,110,2024-08-19 01:49:00,228.95,0.03,0.26,0.001,50.24,0.09
Station02,111,2024-08-19 01:50:00,230.52,0.03,0.03,0.002,50.31,0.07
Station02,112,2024-08-19 01:51:00,227.31,0.02,0.48,0.002,49.51,0.07
Station02,113,2024-08-19 01:52:00,237.68,0.03,0.31,0.002,50.37,0.0
Station02,114,2024-08-19 01:53:00,238.14,0.03,0.1,0.002,50.07,0.03
Station02,115,2024-08-19 01:54:00,237.77,0.05,0.45,0.002,50.03,0.05
Station02,116,2024-08-19 01:55:00,221.08,0.04,0.04,0.003,49.7,0.09
Station02,117,2024-08-19 01:56:00,226.99,0.03,0.15,0.003,49.99,0.1
Station02,118,2024-08-19 01:57:00,220.58,0.04,0.14,0.003,49.86,0.03
Station02,119,2024-08-19 01:58:00,225.3,0.03,0.13,0.001,50.44,0.02
Station02,120,2024-08-19 01:59:00,229.89,0.04,0.42,0.002,50.27,0.01
Station02,121,2024-08-19 02:00:00,224.99,0.05,0.06,0.002,50.31,0.02
Station02,122,2024-08-19 02:01:00,223.14,0.05,0.4,0.002,49.63,0.02
Station02,123,2024-08-19 02:02:00,234.98,0.03,0.2,0.001,50.39,0.04
Station02,124,2024-08-19 02:03:00,220.47,0.03,0.42,0.001,50.18,0.02
Station02,125,2024-08-19 02:04:00,234.08,0.05,0.31,0.003,50.23,0.07
Station02,126,2024-08-19 02:05:00,235.92,0.04,0.05,0.002,50.25,0.05
Station02,127,2024-08-19 02:06:00,220.83,0.04,0.39,0.002,50.36,0.02
Station02,128,2024-08-19 02:07:00,231.98,0.03,0.02,0.001,50.13,0.05
Station02,129,2024-08-19 02:08:00,238.78,0.02,0.5,0.001,49.66,0.03
Station02,130,2024-08-19 02:09:00,223.17,0.04,0.24,0.001,49.93,0.08
Station02,131,2024-08-19 02:10:00,226.76,0.04,0.26,0.003,50.17,0.04
Station02,132,2024-08-19 02:11:00,233.8,0.05,0.49,0.002,49.52,0.06
Station02,133,2024-08-19 02:12:00,222.3,0.03,0.48,0.002,50.27,0.01
Station02,134,2024-08-19 02:13:00,222.23,0.05,0.47,0.001,49.98,0.01
Station02,135,2024-08-19 02:14:00,228.46,0.04,0.18,0.002,49.52,0.02
Station02,136,2024-08-19 02:15:00,236.6,0.04,0.43,0.003,50.48,0.07
Station02,137,2024-08-19 02:16:00,239.85,0.03,0.35,0.001,49.63,0.01
Station02,138,2024-08-19 02:17:00,222.57,0.04,0.17,0.001,49.59,0.02
Station02,139,2024-08-19 02:18:00,225.75,0.02,0.12,0.002,49.61,0.07
Station02,140,2024-08-19 02:19:00,236.45,0.05,0.19,0.002,50.15,0.04
Station02,141,2024-08-19 02:20:00,236.64,0.03,0.01,0.002,50.27,0.03
Station02,142,2024-08-19 02:21:00,222.88,0.03,0.49,0.003,50.13,0.08
Station02,143,2024-08-19 02:22:00,232.03,0.04,0.07,0.001,49.85,0.06
Station02,144,2024-08-19 02:23:00,230.87,0.04,0.33,0.001,49.65,0.06
Station02,145,2024-08-19 02:24:00,230.75,0.02,0.08,0.002,49.97,0.06
Station02,146,2024-08-19 02:25:00,226.1,0.05,0.36,0.002,50.01,0.03
Station02,147,2024-08-19 02:26:00,229.3,0.04,0.35,0.002,49.56,0.01
Station02,148,2024-08-19 02:27:00,230.77,0.03,0.07,0.002,50.15,0.02
Station02,149,2024-08-19 02:28:00,239.33,0.03,0.06,0.001,49.99,0.01
Station02,150,2024-08-19 02:29:00,221.65,0.03,0.02,0.001,50.11,0.06
