Process_ID,ID,Timestamp,Voltage,Current,Power,Energy,Frequency,PF
Staition01,1,2024-08-14 10:51:58,229.80,0.03,0.00,0.002,50.00,0.00
Staition01,2,2024-08-14 10:52:13,229.90,0.03,0.00,0.002,50.10,0.00
Staition01,3,2024-08-14 10:52:28,229.60,0.03,0.00,0.002,50.10,0.00
Staition01,4,2024-08-14 10:52:43,229.90,0.03,0.00,0.002,50.00,0.00
Staition01,5,2024-08-14 10:52:59,229.90,0.03,0.00,0.002,50.00,0.00
Staition01,6,2024-08-14 10:53:14,229.80,0.03,0.00,0.002,50.00,0.00
Staition01,7,2024-08-14 10:53:29,229.80,0.03,0.00,0.002,50.10,0.00
Staition01,8,2024-08-14 10:53:44,229.80,0.03,0.00,0.002,50.10,0.00
Staition01,9,2024-08-14 10:53:59,229.40,0.03,0.00,0.002,50.10,0.00
Staition01,10,2024-08-14 10:54:14,229.20,0.03,0.00,0.002,50.10,0.00
Staition01,11,2024-08-14 10:54:29,229.40,0.03,0.00,0.002,50.10,0.00
Staition01,12,2024-08-14 10:54:44,229.20,0.03,0.00,0.002,50.10,0.00
Staition01,13,2024-08-14 10:54:59,229.30,0.03,0.00,0.002,50.10,0.00
Staition01,14,2024-08-14 10:55:14,233.50,0.04,0.00,0.002,50.00,0.00
Staition01,15,2024-08-14 10:55:29,233.60,0.04,0.00,0.002,50.10,0.00
Staition01,16,2024-08-14 10:55:44,233.60,0.04,0.00,0.002,50.00,0.00
Staition01,17,2024-08-14 10:56:00,233.60,0.04,0.00,0.002,50.00,0.00
Staition01,18,2024-08-14 10:56:15,233.60,0.04,0.00,0.002,50.00,0.00
Staition01,19,2024-08-14 10:56:30,233.70,0.04,0.00,0.002,50.00,0.00
Staition01,20,2024-08-14 10:56:45,233.90,0.04,0.00,0.002,50.00,0.00
Staition01,21,2024-08-14 10:57:00,233.90,0.04,0.00,0.002,50.00,0.00
Staition01,22,2024-08-14 10:57:15,233.90,0.03,0.40,0.002,50.00,0.05
Staition01,23,2024-08-14 10:57:30,234.00,0.04,0.00,0.002,50.00,0.00
Staition01,24,2024-08-14 10:57:45,234.20,0.04,0.00,0.002,50.00,0.00
Staition01,25,2024-08-14 10:58:00,234.30,0.04,0.00,0.002,50.10,0.00
Staition01,26,2024-08-14 10:58:15,234.50,0.04,0.00,0.002,50.10,0.00
Staition01,27,2024-08-14 10:58:30,234.60,0.04,0.00,0.002,50.10,0.00
Staition01,28,2024-08-14 10:58:45,234.40,0.04,0.00,0.002,50.10,0.00
Staition01,29,2024-08-14 10:59:01,234.20,0.04,0.40,0.002,50.10,0.05
Staition01,30,2024-08-14 10:59:16,234.20,0.04,0.00,0.002,50.10,0.00
Staition01,31,2024-08-14 10:59:31,234.30,0.03,0.00,0.002,50.10,0.00
Staition01,32,2024-08-14 10:59:46,234.10,0.04,0.00,0.002,50.10,0.00
Staition01,33,2024-08-14 11:00:01,233.90,0.04,0.00,0.002,50.10,0.00
Staition01,34,2024-08-14 11:00:16,233.80,0.04,0.00,0.002,50.10,0.00
Staition01,35,2024-08-14 11:00:31,233.90,0.04,0.00,0.002,50.10,0.00
Staition01,36,2024-08-14 11:00:46,233.70,0.04,0.00,0.002,50.10,0.00
Staition01,37,2024-08-14 11:01:01,233.80,0.04,0.00,0.002,50.10,0.00
Staition01,38,2024-08-14 11:01:16,234.30,0.04,0.00,0.002,50.10,0.00
Staition01,39,2024-08-14 11:01:31,234.20,0.04,0.00,0.002,50.10,0.00
Staition01,40,2024-08-14 11:01:46,234.10,0.04,0.00,0.002,50.10,0.00
Staition01,41,2024-08-14 11:02:02,234.10,0.04,0.00,0.002,50.20,0.00
Staition01,42,2024-08-14 11:02:17,234.10,0.04,0.00,0.002,50.20,0.00
Staition01,43,2024-08-14 11:02:32,234.50,0.04,0.00,0.002,50.10,0.00
Staition01,44,2024-08-14 11:02:47,234.10,0.04,0.00,0.002,50.10,0.00
Staition01,45,2024-08-14 11:03:02,234.30,0.04,0.00,0.002,50.10,0.00
Staition01,46,2024-08-14 11:03:17,229.80,0.03,0.00,0.002,50.10,0.00
Staition01,47,2024-08-14 11:03:32,229.70,0.03,0.40,0.002,50.10,0.05
Staition01,48,2024-08-14 11:03:47,229.80,0.03,0.00,0.002,50.10,0.00
Staition01,49,2024-08-14 11:04:02,229.90,0.03,0.00,0.002,50.10,0.00
Staition01,50,2024-08-14 11:04:17,229.70,0.03,0.00,0.002,50.10,0.00
Staition01,51,2024-08-14 11:04:32,230.00,0.03,0.00,0.002,50.10,0.00
Staition01,52,2024-08-14 11:04:48,230.10,0.03,0.00,0.002,50.10,0.00
Staition01,53,2024-08-14 11:05:03,229.80,0.03,0.00,0.002,50.10,0.00
Staition01,54,2024-08-14 11:05:18,229.70,0.03,0.00,0.002,50.10,0.00
Staition01,55,2024-08-14 11:05:33,230.00,0.03,0.00,0.002,50.10,0.00
Staition01,56,2024-08-14 11:05:48,230.10,0.03,0.00,0.002,50.10,0.00
Staition01,57,2024-08-14 11:06:03,230.00,0.03,0.00,0.002,50.10,0.00
Staition01,58,2024-08-14 11:06:18,229.60,0.03,0.00,0.002,50.10,0.00
Staition01,59,2024-08-14 11:06:33,229.60,0.03,0.00,0.002,50.10,0.00
Staition01,60,2024-08-14 11:06:48,229.30,0.03,0.00,0.002,50.10,0.00
Staition01,61,2024-08-14 11:07:03,229.50,0.03,0.00,0.002,50.00,0.00
Staition01,62,2024-08-14 11:07:18,229.40,0.03,0.00,0.002,50.10,0.00
Staition01,63,2024-08-14 11:07:33,229.50,0.03,0.00,0.002,50.00,0.00
Staition01,64,2024-08-14 11:07:49,229.40,0.03,0.00,0.002,50.10,0.00
Staition01,65,2024-08-14 11:08:04,229.40,0.03,0.00,0.002,50.00,0.00
Staition01,66,2024-08-14 11:08:19,229.30,0.03,0.00,0.002,50.00,0.00
Staition01,67,2024-08-14 11:08:34,229.30,0.03,0.00,0.002,50.00,0.00
Staition01,68,2024-08-14 11:08:49,229.30,0.03,0.00,0.002,50.00,0.00
Staition01,69,2024-08-14 11:09:04,229.90,0.03,0.00,0.002,50.10,0.00
Staition01,70,2024-08-14 11:09:19,230.00,0.03,0.00,0.002,50.10,0.00
Staition01,71,2024-08-14 11:09:34,230.20,0.03,0.00,0.002,50.00,0.00
Staition01,72,2024-08-14 11:09:49,230.40,0.03,0.00,0.002,50.10,0.00
Staition01,73,2024-08-14 11:10:04,230.30,0.03,0.00,0.002,50.10,0.00
Staition01,74,2024-08-14 11:10:19,230.40,0.03,0.00,0.002,50.10,0.00
Staition01,75,2024-08-14 11:10:34,230.40,0.03,0.00,0.002,50.10,0.00
Staition01,76,2024-08-14 11:10:50,230.00,0.03,0.00,0.002,50.10,0.00
Staition01,77,2024-08-14 11:11:05,230.30,0.03,0.00,0.002,50.10,0.00
Staition01,78,2024-08-14 11:11:20,230.30,0.03,0.00,0.002,50.00,0.00
Staition01,79,2024-08-14 11:11:35,230.30,0.03,0.00,0.002,50.10,0.00
Staition01,80,2024-08-14 11:11:50,230.40,0.03,0.00,0.002,50.10,0.00
Staition01,81,2024-08-14 11:12:05,230.40,0.03,0.00,0.002,50.00,0.00
Staition01,82,2024-08-14 11:12:20,230.10,0.03,0.00,0.002,50.10,0.00
Staition01,83,2024-08-14 11:12:35,229.90,0.03,0.00,0.002,50.10,0.00
Staition01,84,2024-08-14 11:12:50,229.70,0.03,0.00,0.002,50.10,0.00
Staition01,85,2024-08-14 11:13:05,229.60,0.03,0.00,0.002,50.10,0.00
Staition01,86,2024-08-14 11:13:20,229.60,0.03,0.00,0.002,50.10,0.00
Staition01,87,2024-08-14 11:13:35,234.40,0.04,0.00,0.002,50.10,0.00
Staition01,88,2024-08-14 11:13:51,234.20,0.04,0.00,0.002,50.00,0.00
Staition01,89,2024-08-14 11:14:06,233.90,0.03,0.00,0.002,50.00,0.00
Staition01,90,2024-08-14 11:14:21,234.30,0.04,0.00,0.002,50.00,0.00
Staition01,91,2024-08-14 11:14:36,234.20,0.04,0.40,0.002,50.00,0.05
Staition01,92,2024-08-14 11:14:51,234.40,0.04,0.00,0.002,50.00,0.00
Staition01,93,2024-08-14 11:15:06,234.70,0.04,0.00,0.002,50.10,0.00
Staition01,94,2024-08-14 11:15:21,234.70,0.04,0.00,0.002,50.00,0.00
Staition01,95,2024-08-14 11:15:36,234.60,0.04,0.00,0.002,50.00,0.00
Staition01,96,2024-08-14 11:15:51,235.10,0.04,0.00,0.002,50.10,0.00
Staition01,97,2024-08-14 11:16:06,235.00,0.04,0.00,0.002,50.10,0.00
Staition01,98,2024-08-14 11:16:21,234.10,0.04,0.00,0.002,49.70,0.00
Staition01,99,2024-08-14 11:16:36,233.70,0.03,0.00,0.002,49.70,0.00
Staition01,100,2024-08-14 11:16:52,233.80,0.04,0.00,0.002,49.80,0.00
Staition01,101,2024-08-14 11:17:07,233.80,0.04,0.00,0.002,49.80,0.00
Staition01,102,2024-08-14 11:17:22,233.80,0.04,0.00,0.002,49.80,0.00
Staition01,103,2024-08-14 11:17:37,234.10,0.04,0.00,0.002,49.80,0.00
Staition01,104,2024-08-14 11:17:52,234.10,0.04,0.00,0.002,49.90,0.00
Staition01,105,2024-08-14 11:18:07,233.90,0.03,0.00,0.002,49.80,0.00
Staition01,106,2024-08-14 11:18:22,234.00,0.04,0.00,0.002,49.80,0.00
Staition01,107,2024-08-14 11:18:37,234.10,0.04,0.00,0.002,49.80,0.00
Staition01,108,2024-08-14 11:18:52,233.90,0.04,0.00,0.002,49.80,0.00
Staition01,109,2024-08-14 11:19:07,233.70,0.03,0.00,0.002,49.80,0.00
Staition01,110,2024-08-14 11:19:22,233.90,0.03,0.00,0.002,49.90,0.00
Staition01,111,2024-08-14 11:19:37,233.70,0.03,0.00,0.002,49.80,0.00
Staition01,112,2024-08-14 11:19:53,233.80,0.04,0.00,0.002,49.90,0.00
Staition01,113,2024-08-14 11:20:08,234.30,0.04,0.00,0.002,50.00,0.00
Staition01,114,2024-08-14 11:20:23,234.80,0.04,0.00,0.002,50.10,0.00
Staition01,115,2024-08-14 11:20:38,234.50,0.04,0.00,0.002,50.00,0.00
Staition01,116,2024-08-14 11:20:53,234.50,0.04,0.00,0.002,50.00,0.00
Staition01,117,2024-08-14 11:21:08,234.70,0.04,0.00,0.002,50.00,0.00
Staition01,118,2024-08-14 11:21:23,234.50,0.04,0.00,0.002,50.00,0.00
Staition01,119,2024-08-14 11:21:38,234.30,0.04,0.00,0.002,50.00,0.00
Staition01,120,2024-08-14 11:21:53,230.00,0.03,0.00,0.002,50.00,0.00
Staition01,121,2024-08-14 11:22:08,229.90,0.03,0.00,0.002,50.00,0.00
Staition01,122,2024-08-14 11:22:23,230.00,0.03,0.00,0.002,50.00,0.00
Staition01,123,2024-08-14 11:22:39,230.10,0.03,0.00,0.002,50.00,0.00
Staition01,124,2024-08-14 11:22:54,230.10,0.03,0.00,0.002,50.00,0.00
Staition01,125,2024-08-14 11:23:09,229.80,0.03,0.00,0.002,50.00,0.00
Staition01,126,2024-08-14 11:23:24,229.80,0.03,0.00,0.002,50.00,0.00
Staition01,127,2024-08-14 11:23:39,229.90,0.03,0.00,0.002,50.00,0.00
Staition01,128,2024-08-14 11:23:54,229.60,0.03,0.00,0.002,50.00,0.00
Staition01,129,2024-08-14 11:24:09,229.60,0.03,0.00,0.002,50.00,0.00
Staition01,130,2024-08-14 11:24:24,229.50,0.03,0.00,0.002,50.00,0.00
Staition01,131,2024-08-14 11:24:39,229.70,0.03,0.00,0.002,50.00,0.00
Staition01,132,2024-08-14 11:24:54,229.50,0.03,0.00,0.002,49.90,0.00
Staition01,133,2024-08-14 11:25:09,229.60,0.03,0.00,0.002,50.00,0.00
Staition01,134,2024-08-14 11:25:24,229.50,0.03,0.00,0.002,49.90,0.00
Staition01,135,2024-08-14 11:25:40,229.30,0.03,0.00,0.002,49.90,0.00
